;Қорақалпоғистон Республикаси;;;;+;;;;;;;;;
;Tўрткўл;;;;;;;;;;;;;
;Беруний;;;;;;;;;;;;;
;Елликқал'а;;;;;;;;;;;;;
;Амударё;;;;;;;;;;;;;
;Тахиатош;;;;;;;;;;;;;
;Хўжайли;;;;;;;;;;;;;
;Шўманой;;;;;;;;;;;;;
;Қонликўл;;;;;;;;;;;;;
;Қўнғирот;;;;;;;;;;;;;
;Нукус;;;;;;;;;;;;;
;Кегейли;;;;;;;;;;;;;
;Бўзатов;;;;;;;;;;;;;
;Чимбой;;;;;;;;;;;;;
;Қораўзак;;;;;;;;;;;;;
;Тахтакўпир;;;;;;;;;;;;;
;Мўйноқ;;;;;;;;;;;;;
;Андижон;;;;;;;;;;;;;
; Андижон;;;;+;;;;;;;;;
; Асака;;;;;;;;;;;;;
; Баликчи;;;;;;;;;;;;;
; Булокбоши;;;;;;;;;;;;;
; Бўстон;;;;;;;;;;;;;
; Жалакудук;;;;;;;;;;;;;
; Избоскан;;;;;;;;;;;;;
; Улугнор;;;;;;;;;;;;;
; Мархамат;;;;;;;;;;;;;
; Олтинкўл;;;;;;;;;;;;;
; Пахтаобод;;;;;;;;;;;;;
; Хўжаобод;;;;;;;;;;;;;
; Шахрихон;;;;;;;;;;;;;
; Кўргонтепа;;;;;;;;;;;;;
;Бухоро ;;;;+;;;;;;;;;
;Бухоро;;;;;;;;;;;;;
;Вобкент;;;;;;;;;;;;;
;Жондор;;;;;;;;;;;;;
;Когон;;;;;;;;;;;;;
;Қоракўл;;;;;;;;;;;;;
;Қоровулбозор;;;;;;;;;;;;;
;Олот;;;;;;;;;;;;;
;Пешку;;;;;;;;;;;;;
;Ромитан;;;;;;;;;;;;;
;Шофиркон;;;;;;;;;;;;;
;Ғиждувон;;;;;;;;;;;;;
;Бухоро ш.;;;;;;;;;;;;;
;Жиззах;;;;+;;;;;;;;;
;Арнасой;;;;;;;;;;;;;
;Бахмал;;;;;;;;;;;;;
;Ғаллаорол;;;;;;;;;;;;;
;Ш.Рашидов;;;;;;;;;;;;;
;Дўстлик;;;;;;;;;;;;;
;Зомин;;;;;;;;;;;;;
;Зарбдор;;;;;;;;;;;;;
;Мирзачўл;;;;;;;;;;;;;
;Зафаробод;;;;;;;;;;;;;
;Пахтакор;;;;;;;;;;;;;
